,movie,year,imdb,metascore,votes,n_imdb
0,Gladiador,2000,8.5,67,1086524,85.0
1,Amnésia,2000,8.5,80,934208,85.0
2,Snatch: Porcos e Diamantes,2000,8.3,55,657816,83.0
3,Réquiem Para um Sonho,2000,8.3,68,633577,83.0
4,X-Men: O Filme,2000,7.4,64,494967,74.0
5,Náufrago,2000,7.8,73,431887,78.0
6,Psicopata Americano,2000,7.6,64,392990,76.0
7,Corpo Fechado,2000,7.2,62,282006,72.0
8,Entrando Numa Fria,2000,7.0,73,276159,70.0
9,Missão: Impossível 2,2000,6.1,59,261432,61.0
10,"E Aí, Meu Irmão, Cadê Você?",2000,7.8,69,243228,78.0
11,60 Segundos,2000,6.5,35,231512,65.0
12,O Tigre E o Dragão,2000,7.9,93,228611,79.0
13,O Patriota,2000,7.2,63,222297,72.0
14,Quase Famosos,2000,7.9,90,220808,79.0
15,Eclipse Mortal,2000,7.1,49,203841,71.0
16,Todo Mundo em Pânico,2000,6.2,48,200230,62.0
17,"Eu, Eu Mesmo e Irene",2000,6.6,49,197240,66.0
18,Premonição,2000,6.7,36,195278,67.0
19,A Praia,2000,6.6,43,192291,66.0
20,Amores Brutos,2000,8.1,83,188643,81.0
21,Traffic: Ninguém Sai Limpo,2000,7.6,86,177974,76.0
22,Duelo de Titãs,2000,7.8,48,172366,78.0
23,Do Que as Mulheres Gostam,2000,6.4,47,169689,64.0
24,Chocolate,2000,7.3,64,159257,73.0
25,O Grinch,2000,6.1,46,156175,61.0
26,As Panteras,2000,5.5,52,153429,55.0
27,Miss Simpatia,2000,6.2,43,151589,62.0
28,A Fuga das Galinhas,2000,7.0,88,151167,70.0
29,Alta Fidelidade,2000,7.5,79,150743,75.0
30,Batalha Real,2000,7.7,81,148451,77.0
31,Erin Brockovich: Uma Mulher de Talento,2000,7.3,73,146036,73.0
32,A Nova Onda do Imperador,2000,7.3,70,142701,73.0
33,Caindo na Estrada,2000,6.5,55,140852,65.0
34,Mar em Fúria,2000,6.4,59,139784,64.0
35,"Cara, Cadê Meu Carro?",2000,5.5,30,122244,55.0
36,O Homem Sem Sombra,2000,5.7,24,108154,57.0
37,Pânico 3,2000,5.5,56,105779,55.0
38,O 6º Dia,2000,5.9,49,105088,59.0
39,Billy Elliot,2000,7.7,74,104858,77.0
40,Bater ou Correr,2000,6.6,77,104004,66.0
41,Revelação,2000,6.6,51,103843,66.0
42,A Corrente do Bem,2000,7.2,40,101917,72.0
43,Meu Vizinho Mafioso,2000,6.7,47,95733,67.0
44,Show Bar,2000,5.6,27,95562,56.0
45,Homens de Honra,2000,7.2,56,95191,72.0
46,Um Homem de Família,2000,6.7,42,90856,67.0
47,Alta Freqüência,2000,7.4,67,88163,74.0
48,Amor à Flor da Pele,2000,8.1,85,87604,81.0
49,Endiabrado,2000,6.0,49,86381,60.0
50,Um Diabo Diferente,2000,5.3,38,85764,53.0
51,Dançando no Escuro,2000,8.0,61,85719,80.0
52,A Cela,2000,6.3,40,84539,63.0
53,Encontrando Forrester,2000,7.3,62,75837,73.0
54,Teenagers: As Apimentadas,2000,6.0,52,74889,60.0
55,Malena,2000,7.5,54,72112,75.0
56,Vovó... Zona,2000,5.1,33,71410,51.0
57,U-571: A Batalha do Atlântico,2000,6.6,62,68870,66.0
58,A Reconquista,2000,2.4,9,68336,24.0
59,O Caminho Para El Dorado,2000,6.9,51,66218,69.0
60,Cowboys do Espaço,2000,6.4,73,63921,64.0
61,Missão: Marte,2000,5.6,34,63715,56.0
62,Shaft,2000,5.9,50,61721,59.0
63,Romeu Tem Que Morrer,2000,6.1,52,59991,61.0
64,Garotos Incríveis,2000,7.4,73,56655,74.0
65,O Dom da Premonição,2000,6.7,62,55431,67.0
66,Titan,2000,6.6,48,54199,66.0
67,Limite Vertical,2000,5.9,48,52288,59.0
68,Rios Vermelhos,2000,6.9,49,51494,69.0
69,Virando o Jogo,2000,6.5,30,51127,65.0
70,Prova de Vida,2000,6.2,45,51066,62.0
71,Planeta Vermelho,2000,5.7,34,50054,57.0
72,O Melhor do Show,2000,7.5,78,48486,75.0
73,Lendas da Vida,2000,6.7,47,48150,67.0
74,Treze Dias Que Abalaram o Mundo,2000,7.3,67,47864,73.0
75,Contos Proibidos do Marquês de Sade,2000,7.3,70,46852,73.0
76,Sexy Beast,2000,7.3,79,46474,73.0
77,Tenha Fé,2000,6.4,60,46307,64.0
78,O Primeiro Milhão,2000,7.0,63,43957,70.0
79,Dinossauro,2000,6.5,56,42387,65.0
80,O Professor Aloprado 2: A Familia Klump,2000,4.3,38,41980,43.0
81,Nove Rainhas,2000,7.9,80,41894,79.0
82,Regras do Jogo,2000,6.4,45,39546,64.0
83,28 Dias,2000,6.0,46,37169,60.0
84,Duas Vidas,2000,6.1,45,36211,61.0
85,A Sombra do Vampiro,2000,6.9,71,35731,69.0
86,Possuída,2000,6.8,70,35619,68.0
87,Tigerland - A Caminho da Guerra,2000,7.0,55,34724,70.0
88,Jogo Duro,2000,5.7,37,33189,57.0
89,Trapaceiros,2000,6.7,69,32978,67.0
90,Chopper - Memórias de um Criminoso,2000,7.2,65,32968,72.0
91,A Bruxa de Blair 2: O Livro das Sombras,2000,4.0,15,31703,40.0
92,A Enfermeira Betty,2000,6.2,69,30845,62.0
93,Mais uma Sexta-Feira em Apuros,2000,6.1,41,30343,61.0
94,O Implacável,2000,5.1,24,28925,51.0
95,Drácula 2000,2000,4.9,26,28745,49.0
96,Dungeons & Dragons - A Aventura Começa Agora,2000,3.7,14,28741,37.0
97,102 Dálmatas,2000,4.9,35,28668,49.0
98,Onde Mora o Coração,2000,6.8,30,28591,68.0
99,À Sangue Frio,2000,6.7,49,28516,67.0
100,Sociedade Secreta,2000,5.6,24,28177,56.0
101,A Cilada,2000,5.7,30,26248,57.0
102,Vampire Hunter D: Bloodlust,2000,7.7,62,24704,77.0
103,Conte Comigo,2000,7.7,85,24445,77.0
104,Pollock,2000,7.0,77,24276,70.0
105,O Otário,2000,5.3,35,24049,53.0
106,O Observador,2000,5.3,22,23176,53.0
107,Antes do Anoitecer,2000,7.3,85,21795,73.0
108,Outono em Nova York,2000,5.5,24,21600,55.0
109,A Conspiração,2000,7.0,59,21225,70.0
110,Zona de Risco,2000,7.9,58,20900,79.0
111,Brother - a máfia japonesa Yakuza em Los Angeles,2000,7.2,47,19655,72.0
112,Sob Suspeita,2000,6.5,43,19333,65.0
113,O Hotel de Um Milhão de Dólares,2000,5.9,25,19160,59.0
114,Deu a Louca nos Astros,2000,6.8,75,18898,68.0
115,Bem-Vindos,2000,7.5,84,18487,75.0
116,Mais Que o Acaso,2000,5.7,52,18371,57.0
117,Em Julho,2000,7.8,71,17914,78.0
118,As Aventuras de Alceu e Dentinho,2000,4.2,36,17456,42.0
119,Meu Cachorro Skip,2000,7.0,61,17451,70.0
120,Highlander: A Batalha Final,2000,4.6,21,17266,46.0
121,Caminho Sem Volta,2000,6.4,58,17250,64.0
122,Feitiço do Coração,2000,6.9,54,17246,69.0
123,Os Flintstones em Viva Rock Vegas,2000,3.6,27,16926,36.0
124,Sob a Luz da Fama,2000,6.7,52,16616,67.0
125,Dr. T E as Mulheres,2000,4.6,64,16199,46.0
126,Blinkende lygter,2000,7.7,47,16092,77.0
127,O Barato de Grace,2000,6.9,62,16043,69.0
128,Além dos Limites,2000,7.2,70,15508,72.0
129,Supernova,2000,4.8,19,15377,48.0
130,Fuck Me,2000,4.5,35,15280,45.0
131,As Coisas Simples da Vida,2000,8.1,93,14725,81.0
132,Amor ou Amizade,2000,5.4,29,14446,54.0
133,Tigrão - O Filme,2000,6.3,53,14315,63.0
134,Canções do Segundo Andar,2000,7.7,76,14100,77.0
135,Lenda Urbana 2,2000,4.2,16,13803,42.0
136,The Dish,2000,7.2,74,13464,72.0
137,A Princesa E o Guerreiro,2000,7.6,64,13378,76.0
138,Porque Choram os Homens,2000,6.2,40,13084,62.0
139,Intrigas,2000,5.9,31,13035,59.0
140,Louco Por Você,2000,4.9,13,12900,49.0
141,A Filha da Luz,2000,5.1,17,12696,51.0
142,Prontos Para Detonar,2000,5.3,23,12304,53.0
143,Quem Não Matou Mona?,2000,5.6,25,12180,56.0
144,Cecil Bem Demente,2000,6.2,57,11949,62.0
145,Espírito Selvagem,2000,5.8,55,11887,58.0
146,Italiano Para Principiantes,2000,7.1,77,11786,71.0
147,Os Gângsteres,2000,6.8,60,11555,68.0
148,O Tigrão,2000,5.1,22,11252,51.0
149,Fábrica de animais,2000,6.6,65,11120,66.0
150,Seom,2000,7.1,61,10916,71.0
151,Blood: The Last Vampire,2000,6.7,44,10710,67.0
152,Linhas Cruzadas,2000,4.8,33,10650,48.0
153,Anatomia,2000,6.1,33,10616,61.0
154,Um Dia de Neve,2000,5.0,34,9952,50.0
155,A Harmonia Werckmeister,2000,8.3,92,9863,83.0
156,Dominação,2000,4.8,16,9731,48.0
157,Sobrou Pra Você,2000,4.7,25,9730,47.0
158,A Isca,2000,5.7,39,9531,57.0
159,Código Desconhecido,2000,7.2,74,9354,72.0
160,A Hora do Show,2000,6.5,50,9054,65.0
161,O Senhor dos Anéis: A Sociedade do Anel,2001,8.8,92,1358699,88.0
162,Uma Mente Brilhante,2001,8.2,72,685454,82.0
163,Monstros S.A.,2001,8.1,78,655840,81.0
164,Donnie Darko,2001,8.1,88,638882,81.0
165,O Fabuloso Destino de Amélie Poulain,2001,8.4,69,589845,84.0
166,Shrek,2001,7.9,84,508754,79.0
167,Harry Potter e a Pedra Filosofal,2001,7.5,64,502188,75.0
168,A Viagem de Chihiro,2001,8.6,96,479761,86.0
169,Onze Homens e um Segredo,2001,7.8,74,436029,78.0
170,Dia de Treinamento,2001,7.7,69,330142,77.0
171,Falcão Negro em Perigo,2001,7.7,74,314967,77.0
172,Velozes e Furiosos,2001,6.7,58,296855,67.0
173,Os Outros,2001,7.6,74,292298,76.0
174,Pearl Harbor,2001,6.1,44,273272,61.0
175,O Retorno da Múmia,2001,6.3,48,265434,63.0
176,Cidade dos Sonhos,2001,8.0,83,265126,80.0
177,A.I.: Inteligência Artificial,2001,7.1,65,256893,71.0
178,Jurassic Park III,2001,5.9,42,240720,59.0
179,Moulin Rouge: Amor em Vermelho,2001,7.6,66,237664,76.0
180,Os Excêntricos Tenenbaums,2001,7.6,76,226418,76.0
181,Hannibal,2001,6.8,57,221827,68.0
182,Vanilla Sky,2001,6.9,45,219219,69.0
183,Zoolander,2001,6.6,61,216114,66.0
184,American Pie 2: A Segunda Vez é Ainda Melhor,2001,6.4,43,212325,64.0
185,Profissão de Risco,2001,7.6,52,211557,76.0
186,Círculo de Fogo,2001,7.6,53,206296,76.0
187,O Planeta dos Macacos,2001,5.7,50,190821,57.0
188,O Diário de Bridget Jones,2001,6.7,66,189712,67.0
189,A Hora do Rush 2,2001,6.6,48,172292,66.0
190,Lara Croft: Tomb Raider,2001,5.8,33,168566,58.0
191,A Senha: Swordfish,2001,6.5,32,162183,65.0
192,K-Pax - O Caminho da Luz,2001,7.4,49,159199,74.0
193,Coração de Cavaleiro,2001,6.9,56,146579,69.0
194,Legalmente Loira,2001,6.2,59,145956,62.0
195,O Império (do Besteirol) Contra-Ataca,2001,6.9,51,134585,69.0
196,Do Inferno,2001,6.8,54,132311,68.0
197,Uma Lição de Amor,2001,7.6,28,129084,76.0
198,Todo Mundo em Pânico 2,2001,5.3,29,128500,53.0
199,Jogo de Espiões,2001,7.1,63,127764,71.0
200,O Amor É Cego,2001,5.9,48,115016,59.0
201,A Cartada Final,2001,6.8,71,107319,68.0
202,Evolução,2001,6.1,40,106986,61.0
203,O Diário da Princesa,2001,6.3,52,104328,63.0
204,Ghost World - Aprendendo a Viver,2001,7.4,88,101898,74.0
205,E Sua Mãe Também,2001,7.7,88,97992,77.0
206,Tá Todo Mundo Louco! Uma Corrida por Milhõe$,2001,6.4,52,97852,64.0
207,Olhos Famintos,2001,6.1,49,95338,61.0
208,A Mexicana,2001,6.1,43,92045,61.0
209,Escrito nas Estrelas,2001,6.9,52,91937,69.0
210,Pequenos Espiões,2001,5.4,71,91236,54.0
211,O Homem que Não Estava Lá,2001,7.6,73,90972,76.0
212,Atrás das Linhas Inimigas,2001,6.4,49,90911,64.0
213,Não é Mais um Besteirol Americano,2001,5.7,32,85258,57.0
214,Ali,2001,6.8,65,83527,68.0
215,A Experiência,2001,7.8,60,83088,78.0
216,Lagaan: Era uma Vez na Índia,2001,8.2,84,83050,82.0
217,O Confronto,2001,5.9,25,81959,59.0
218,Atlantis: O Reino Perdido,2001,6.8,52,81471,68.0
219,Super Tiras,2001,7.1,48,81189,71.0
220,Final Fantasy,2001,6.4,49,75584,64.0
221,Doce Novembro,2001,6.7,27,74976,67.0
222,A Última Ceia,2001,7.1,69,74830,71.0
223,13 Fantasmas,2001,5.6,30,69493,56.0
224,Kate & Leopold,2001,6.4,44,69283,64.0
225,Assassinato em Gosford Park,2001,7.3,90,68830,73.0
226,O Casamento dos Meus Sonhos,2001,5.2,33,66074,52.0
227,A Mão do Diabo,2001,7.3,64,66004,73.0
228,Na Teia de Aranha,2001,6.3,42,63094,63.0
229,Kung-Fu Futebol Clube,2001,7.3,68,62360,73.0
230,A Última Fortaleza,2001,6.9,43,60489,69.0
231,Vida Bandida,2001,6.5,60,59621,65.0
232,Perseguição,2001,6.6,75,56563,66.0
233,O Beijo do Dragão,2001,6.6,58,55588,66.0
234,O Pacto dos Lobos,2001,7.1,57,55242,71.0
235,Waking Life,2001,7.8,82,53198,78.0
236,A Espinha do Diabo,2001,7.5,78,51998,75.0
237,No Balanço do Amor,2001,6.2,53,50872,62.0
238,Animal,2001,4.8,43,50328,48.0
239,Os Queridinhos da América,2001,5.7,44,49740,57.0
240,Como Cães e Gatos,2001,5.1,47,49151,51.0
241,Pecado Original,2001,6.0,33,47562,60.0
242,Cine Majestic,2001,6.9,27,47208,69.0
243,A Nona Sessão,2001,6.5,58,46913,65.0
244,Doce Trapaça,2001,6.2,47,46374,62.0
245,Dois Doidões em Harvard,2001,6.3,29,45972,63.0
246,Mais um Verão Americano,2001,6.7,42,45690,67.0
247,A Promessa,2001,6.8,71,45534,68.0
248,Fantasmas de Marte,2001,4.9,35,45459,49.0
249,Ichi - O Assassino,2001,7.1,50,45300,71.0
250,15 Minutos,2001,6.1,34,44445,61.0
251,"Baladas, Rachas e Um Louco de Kilt",2001,6.3,23,44336,63.0
252,Joe Sujo,2001,5.9,20,44331,59.0
253,A Professora de Piano,2001,7.5,79,43624,75.0
254,Refém do Silêncio,2001,6.3,38,42749,63.0
255,Jason X,2001,4.4,25,42359,44.0
256,Fora de Casa!,2001,4.5,13,41320,45.0
257,Tempo de Recomeçar,2001,7.5,45,40366,75.0
258,Terra de Ninguém,2001,8.0,84,39741,80.0
259,3000 Milhas Para o Inferno,2001,5.9,21,39504,59.0
260,Rock Star,2001,6.2,54,36446,62.0
261,Dr. Dolittle 2,2001,4.7,49,36337,47.0
262,Alta Velocidade,2001,4.5,29,35850,45.0
263,Cowboy Bebop: O Filme,2001,7.9,61,35238,79.0
264,Mulher Infernal,2001,5.9,22,34795,59.0
265,O Escorpião de Jade,2001,6.8,52,33976,68.0
266,Entre Quatro Paredes,2001,7.5,86,33800,75.0
267,Loucuras na Idade Média,2001,4.8,32,32972,48.0
268,Tolerância Zero,2001,7.2,75,32501,72.0
269,Lembranças de um Verão,2001,6.9,55,32229,69.0
270,Wasabi,2001,6.6,53,31677,66.0
271,Penalidade Máxima,2001,6.5,45,31325,65.0
272,Lúcia e o Sexo,2001,7.2,65,31218,72.0
273,Bully - Juventude Violenta,2001,7.0,45,30857,70.0
274,Chegadas e Partidas,2001,6.8,47,29818,68.0
275,O Capitão Corelli,2001,5.9,36,29526,59.0
276,O Assalto,2001,6.5,66,29264,65.0
277,Rede de Corrupção,2001,5.5,39,28844,55.0
278,"Hedwig - Rock, Amor e Traição",2001,7.8,85,27817,78.0
279,Osmose Jones,2001,6.3,57,27377,63.0
280,A Casa de Vidro,2001,5.8,34,27193,58.0
281,Jimmy Bolha,2001,5.6,41,27075,56.0
282,Que Mulher É Essa?,2001,6.1,46,26571,61.0
283,Ameaça Virtual,2001,6.1,31,26442,61.0
284,Jimmy Neutron: O Menino Gênio,2001,6.0,65,25974,60.0
285,O Alfaiate do Panamá,2001,6.1,66,25069,61.0
286,Hardball - O Jogo da Vida,2001,6.4,48,23992,64.0
287,Os Garotos da Minha Vida,2001,6.5,43,23963,65.0
288,A Isca Perfeita,2001,6.1,51,22398,61.0
289,Gostosa Loucura,2001,6.5,61,22260,65.0
290,Inimigo em Casa,2001,5.5,29,22249,55.0
291,O Dia do Terror,2001,4.7,18,21570,47.0
292,Guerreiros Buffalo,2001,6.9,56,21417,69.0
293,Alguém Como Você,2001,6.1,32,21089,61.0
294,Um Casamento à Indiana,2001,7.4,77,20920,74.0
295,Crocodilo Dundee em Hollywood,2001,4.8,37,20903,48.0
296,Impostor,2001,6.2,33,20832,62.0
297,Filhos da Máfia,2001,6.1,30,20573,61.0
298,Olhar de Anjo,2001,5.6,39,20321,56.0
299,Glitter: O Brilho de uma Estrela,2001,2.2,14,20049,22.0
300,O Céu Pode Esperar,2001,5.4,32,19777,54.0
301,Josie e as Gatinhas,2001,5.3,47,19676,53.0
302,Enigma,2001,6.4,64,18430,64.0
303,Assunto de Meninas,2001,7.0,53,17970,70.0
304,Metrópolis,2001,7.3,75,17958,73.0
305,Jogo de Intrigas,2001,6.2,53,17838,62.0
306,A Floresta de Lantana,2001,7.3,84,17134,73.0
307,Atriz Milenar,2001,7.9,70,17053,79.0
308,Amargo Reencontro,2001,7.3,71,16730,73.0
309,Volta Por Cima,2001,5.8,52,16261,58.0
310,Os Viajantes do Tempo,2001,5.8,38,16166,58.0
311,Natureza Quase Humana,2001,6.4,56,16099,64.0
312,Gatos Numa Roubada,2001,5.3,15,15940,53.0
313,Histórias Proibidas,2001,6.9,50,15863,69.0
314,O Quarto do Filho,2001,7.4,73,15658,74.0
315,Crime Desorganizado,2001,6.4,62,15634,64.0
316,Iris,2001,7.1,76,15474,71.0
317,Ardendo no Frio,2001,6.3,22,15167,63.0
318,Monkeybone - No Limite da Imaginação,2001,4.7,40,15085,47.0
319,O Closet,2001,7.1,72,14845,71.0
320,Beijando Jessica Stein,2001,6.6,72,14610,66.0
321,Jogada de Verão,2001,5.0,21,13668,50.0
322,O Que Mais Pode Acontecer?,2001,5.5,37,13286,55.0
323,A Vingança do Mosqueteiro,2001,4.7,27,13225,47.0
324,Kairo,2001,6.6,70,13002,66.0
325,Elling,2001,7.6,70,12870,76.0
326,O Senhor dos Anéis: As Duas Torres,2002,8.7,88,1211726,87.0
327,Prenda-me Se For Capaz,2002,8.1,76,616170,81.0
328,Homem-Aranha,2002,7.3,73,588940,73.0
329,Cidade de Deus,2002,8.7,79,583063,87.0
330,O Pianista,2002,8.5,85,561878,85.0
331,Star Wars: Episódio II - Ataque dos Clones,2002,6.6,54,513241,66.0
332,A Identidade Bourne,2002,7.9,68,444190,79.0
333,Harry Potter e a Câmara Secreta,2002,7.4,63,434879,74.0
334,Minority Report - A Nova Lei,2002,7.7,80,432524,77.0
335,A Era do Gelo,2002,7.6,60,359195,76.0
336,Gangues de Nova York,2002,7.5,72,341893,75.0
337,Extermínio,2002,7.6,73,321667,76.0
338,Sinais,2002,6.7,59,293399,67.0
339,MIIB - Homens de Preto II,2002,6.1,49,285098,61.0
340,Equilibrium,2002,7.5,33,278525,75.0
341,O Chamado,2002,7.1,57,277066,71.0
342,Carga Explosiva,2002,6.8,51,253878,68.0
343,Insônia,2002,7.2,78,236608,72.0
344,Por Um Fio,2002,7.1,56,222750,71.0
345,O Quarto do Pânico,2002,6.8,65,221411,68.0
346,Resident Evil: O Hóspede Maldito,2002,6.7,33,217023,67.0
347,Dragão Vermelho,2002,7.2,60,216568,72.0
348,Estrada Para Perdição,2002,7.7,72,214675,77.0
349,8 Mile: Rua das Ilusões,2002,7.0,77,206033,70.0
350,Chicago,2002,7.2,82,185609,72.0
351,007 - Um Novo Dia Para Morrer,2002,6.1,56,179922,61.0
352,Um Amor Para Recordar,2002,7.4,35,175367,74.0
353,Austin Powers em o Homem do Membro de Ouro,2002,6.2,62,172709,62.0
354,Blade II - O Caçador de Vampiros,2002,6.7,52,172108,67.0
355,Herói,2002,7.9,85,157829,79.0
356,Triplo X,2002,5.8,48,156567,58.0
357,A Última Noite,2002,7.7,67,156487,77.0
358,Adaptação,2002,7.7,83,154174,77.0
359,Um Grande Garoto,2002,7.1,75,151432,71.0
360,Lilo & Stitch,2002,7.2,73,132092,72.0
361,Tiros em Columbine,2002,8.0,72,128993,80.0
362,Embriagado de Amor,2002,7.3,78,119385,73.0
363,A Herança de Mr. Deeds,2002,5.8,24,118504,58.0
364,Reino de Fogo,2002,6.2,39,113563,62.0
365,As Confissões de Schmidt,2002,7.2,85,112272,72.0
366,Fomos Heróis,2002,7.2,65,112090,72.0
367,O Conde de Monte Cristo,2002,7.7,61,111959,77.0
368,O Escorpião Rei,2002,5.5,45,111319,55.0
369,As Horas,2002,7.6,81,108753,76.0
370,A Máquina do Tempo,2002,5.9,42,108266,59.0
371,Casamento Grego,2002,6.6,62,108215,66.0
372,Um Ato de Coragem,2002,7.1,30,106799,71.0
373,Retratos de uma Obsessão,2002,6.8,64,102580,68.0
374,Conflitos Internos,2002,8.1,75,100839,81.0
375,Irreversível,2002,7.4,51,95647,74.0
376,Driblando o Destino,2002,6.7,66,94670,67.0
377,O Dono da Festa,2002,6.4,26,93521,64.0
378,Amor à Segunda Vista,2002,6.1,42,92093,61.0
379,Fale com Ela,2002,8.0,86,91874,80.0
380,A Soma de Todos os Medos,2002,6.4,45,91288,64.0
381,Doce Lar,2002,6.2,45,89335,62.0
382,Navio Fantasma,2002,5.5,28,80855,55.0
383,Planeta do Tesouro,2002,7.1,60,80241,71.0
384,Garota Veneno,2002,5.5,29,79693,55.0
385,Scooby-Doo,2002,5.0,35,78242,50.0
386,Confissões de Uma Mente Perigosa,2002,7.1,67,74907,71.0
387,A Máfia Volta ao Divã,2002,5.9,37,73654,59.0
388,Encontro de Amor,2002,5.1,45,73202,51.0
389,Secretária,2002,7.0,63,72372,70.0
390,Jackass: Cara-de-Pau - O Filme,2002,6.6,42,72120,66.0
391,Solaris,2002,6.2,65,71075,62.0
392,Infidelidade,2002,6.7,63,68035,67.0
393,O Terno de Dois Bilhões de Dólares,2002,5.3,30,67443,53.0
394,A Última Profecia,2002,6.5,52,67280,65.0
395,Frida,2002,7.4,61,67261,74.0
396,Cabana do Inferno,2002,5.6,56,65916,56.0
397,Efeito Colateral,2002,5.5,33,64908,55.0
398,40 Dias e 40 Noites,2002,5.6,53,64594,56.0
399,Jornada Nas Estrelas: Nêmesis,2002,6.4,51,62792,64.0
400,Fora de Controle,2002,6.5,69,60603,65.0
401,Códigos de Guerra,2002,6.0,51,59054,60.0
402,Showtime,2002,5.5,32,54908,55.0
403,Simone,2002,6.1,49,54131,61.0
404,K-19: The Widowmaker,2002,6.7,58,52182,67.0
405,Mr. Vingança,2002,7.7,56,50922,77.0
406,Spirit - O Corcel Indomável,2002,7.1,52,50547,71.0
407,Pequenos Espiões 2: A Ilha dos Sonhos Perdidos,2002,5.1,66,49346,51.0
408,Tudo Para Ficar Com Ele,2002,5.1,32,48885,51.0
409,A Rainha dos Condenados,2002,5.3,30,46562,53.0
410,Malditas Aranhas!,2002,5.4,53,46492,54.0
411,Cálculo Mortal,2002,6.1,50,46325,61.0
412,A Guerra de Hart,2002,6.3,49,46029,63.0
413,Regras da Atração,2002,6.7,50,46004,67.0
414,Sou Espião,2002,5.4,35,43992,54.0
415,Correndo Atrás do Diploma,2002,6.2,48,43042,62.0
416,Em Má Companhia,2002,5.6,37,41382,56.0
417,Bubba Ho-Tep,2002,7.2,57,40830,72.0
418,O Pequeno Stuart Little 2,2002,5.4,66,40691,54.0
419,Por um Sentido na Vida,2002,6.5,71,39671,65.0
420,Kung Pow - O Mestre da Kung-Fu-São,2002,6.2,14,39658,62.0
421,Longe do Paraíso,2002,7.4,84,38585,74.0
422,Meu Papai é Noel 2,2002,5.6,48,38408,56.0
423,Terra de Sonhos,2002,7.8,76,37787,78.0
424,Para Sempre Lilya,2002,7.9,82,37611,79.0
425,Coisas Belas E Sujas,2002,7.4,78,36686,74.0
426,Dívida de Sangue,2002,6.4,64,36658,64.0
427,Albergue Espanhol,2002,7.3,65,36034,73.0
428,"Morra, Smoochy, Morra",2002,6.4,38,35886,64.0
429,Encantadora de Baleias,2002,7.6,80,35861,76.0
430,Narc,2002,7.2,70,35423,72.0
431,Crossroads: Amigas para Sempre,2002,3.4,27,35362,34.0
432,O Grito,2002,6.7,48,34493,67.0
433,Spun - Sem Limites,2002,6.8,41,33505,68.0
434,O Mistério da Libélula,2002,6.1,25,33198,61.0
435,Nunca Mais,2002,5.7,25,33090,57.0
436,Crimes em Primeiro Grau,2002,6.3,48,32782,63.0
437,Spider - Desafie Sua Mente,2002,6.8,83,31759,68.0
438,Com a Cor E a Coragem,2002,5.8,69,30675,58.0
439,O Grande Mentiroso,2002,5.4,36,30673,54.0
440,Novo no Pedaço,2002,5.9,24,30069,59.0
441,Femme Fatale,2002,6.3,59,30049,63.0
442,A Estranha Família de Igby,2002,7.0,72,29945,70.0
443,Ritmo Total,2002,5.7,63,29682,57.0
444,Honra & Coragem - As Quatro Plumas,2002,6.5,49,29601,65.0
445,Halloween - Ressurreição,2002,4.1,19,29424,41.0
446,May - Obsessão Assassina,2002,6.7,58,28621,67.0
447,A Festa Nunca Termina,2002,7.4,85,28612,74.0
448,Voltando a Viver,2002,7.3,62,28461,73.0
449,Desafio do Destino,2002,7.0,72,28159,70.0
450,Cruzeiro das Loucas,2002,4.9,18,27934,49.0
451,A Sombra de um Homem,2002,7.2,41,27593,72.0
452,A Onda dos Sonhos,2002,5.6,61,27247,56.0
453,Deixe-me Viver,2002,7.2,61,26852,72.0
454,The Eye: A Herança,2002,6.7,66,25834,67.0
455,8 Mulheres,2002,7.1,64,25160,71.0
456,O Americano Tranqüilo,2002,7.1,84,24844,71.0
457,O Imbatível,2002,6.2,58,24625,62.0
458,Geração Roubada,2002,7.5,80,24567,75.0
459,Uma Turma do Barulho,2002,6.3,66,24029,63.0
460,Em Nome de Deus,2002,7.8,83,23343,78.0
461,Dirigindo no Escuro,2002,6.6,46,23152,66.0
462,Rollerball,2002,3.0,14,23058,30.0
463,O Último Suspeito,2002,6.1,50,22215,61.0
464,Neve Pra Cachorro,2002,5.1,29,21789,51.0
465,A Mais Louca Sexta-Feira em Apuros,2002,5.8,35,21353,58.0
466,Paraíso,2002,7.1,68,21330,71.0
467,Pluto Nash,2002,3.8,12,21292,38.0
468,Domingo Sangrento,2002,7.7,90,20886,77.0
469,Encurralada,2002,6.2,42,20687,62.0
470,Uma Vida em Sete Dias,2002,5.8,31,20615,58.0
471,Armadilhas do Coração,2002,6.9,60,19949,69.0
472,O Samurai do Entardecer,2002,8.1,82,19197,81.0
473,Oito Noites de Loucura de Adam Sandler,2002,5.3,23,19090,53.0
474,O Mestre do Disfarce,2002,3.3,12,19069,33.0
475,Vivendo na Eternidade,2002,6.7,66,19039,67.0
476,Submersos,2002,6.2,55,18853,62.0
477,O Homem Sem Passado,2002,7.7,84,18818,77.0
478,A Face Oculta da Lei,2002,6.6,57,18215,66.0
479,Grande Problema,2002,6.5,47,18166,65.0
480,Medo Ponto com Br,2002,3.3,16,17879,33.0
481,A Sétima Vítima,2002,5.4,15,17431,54.0
482,Dupla Explosiva,2002,3.6,19,17318,36.0
483,Fix@ção,2002,5.0,29,17131,50.0
484,"Bem Me Quer, Mal Me Quer",2002,7.2,63,16970,72.0
485,Pequenos Grandes Astros,2002,5.1,47,16211,51.0
